ms:float,v:float
5290.4298305511475,76.79644
6196.7198848724365,66.20383
7103.009939193726,66.20383
7821.789979934692,83.47439
8587.45002746582,78.36374
16884.70983505249,78.36371
17634.74988937378,79.99628
41651.479959487915,59.99723
42667.16003417969,59.07419
47104.859828948975,62.94791
48120.529890060425,59.07418
48901.819944381714,76.79646
49808.109998703,66.20383
50792.529821395874,60.94955
51526.939868927,81.69836
58417.88983345032,83.47439
59292.92988777161,68.56825
60089.839935302734,75.29063
60949.24998283386,69.81495
67558.92992019653,83.47441
68418.34998130798,69.81495
69402.77004241943,60.94955
70355.9398651123,62.94791
71168.4799194336,73.84273
71965.38996696472,75.29065
72840.43002128601,68.56825
73574.83983039856,81.69833
74340.49987792969,78.36371
75168.65992546082,72.44947
76199.95999336243,58.17913
77215.6298160553,59.07419
87856.75001144409,61.93262
88919.29984092712,56.46796
89731.83989524841,73.84273
90544.36993598938,73.84275
91575.67000389099,58.17912
92653.84984016418,55.6496
93513.25988769531,69.81495
94263.2999420166,79.99628
95044.57998275757,76.79644
99607.29002952576,61.93262
100591.70985221863,60.94956
101341.74990653992,79.99628
102091.77994728088,79.99632
102919.95000839233,72.44947
103857.48982429504,63.99704
104810.6598854065,62.94789
105670.06993293762,69.81495
106529.48999404907,69.81496
107435.78004837036,66.20381
108232.68985748291,75.29065
109029.59990501404,75.29063
109873.38995933533,71.10782
110623.43001365662,79.99628
111326.58982276917,85.3294
112029.73985671997,85.32937
112732.8999042511,85.3294
122936.49983406067,71.10782
123889.66989517212,62.94791
124764.70994949341,68.56825
125483.48999023438,83.47441
126249.1500377655,78.36371
127124.18985366821,68.56825
128046.10991477966,65.08173
128764.88995552063,83.47439
129514.93000984192,79.99632
130311.83981895447,75.29063
131124.37987327576,73.84273
131952.53992080688,72.44947
132718.199968338,78.36371
139155.99989891052,76.79644
143374.9499320984,81.69833
144187.47997283936,73.84273
145078.1500339508,67.3653
145859.43984985352,76.79646
146593.83988380432,81.69833
147359.50994491577,78.36371
148203.28998565674,71.10782
149109.58981513977,66.20383
149859.61985588074,79.99632
150609.65991020203,79.99628
151375.31995773315,78.36371
152234.73000526428,69.81495
152937.88981437683,85.3294
153703.54986190796,78.36371
158000.61988830566,71.10782
158766.2799358368,78.36374
159563.19999694824,75.29063
160438.24005126953,68.56825
161282.01985359192,71.10782
162032.0599079132,79.99628
162813.3499622345,76.79644
163657.13000297546,71.10782
164532.1798324585,68.56827
165266.5798664093,81.69833
166000.98991394043,81.69833
166797.90997505188,75.29063
167657.320022583,69.81495
168469.85983848572,73.84275
169157.38987922668,87.26867
169907.41991996765,79.99628
170719.95997428894,73.84275
171485.62002182007,78.36371
172188.77983093262,85.32937
172938.80987167358,79.99632
173720.09992599487,76.79644
174548.259973526,72.44947
175329.5500278473,76.79644
176095.20983695984,78.36371
176720.2398777008,95.99557
177626.5299320221,66.20383
178439.06998634338,73.84273
179189.10002708435,79.99628
179907.88984298706,83.47441
180689.16988372803,76.79644
181517.33994483948,72.44947
182361.12999916077,71.10782
183095.53003311157,81.69836
183876.81984901428,76.79644
184658.10990333557,76.79644
185548.7699508667,67.3653
186314.42999839783,78.36371
187080.09004592896,78.36374
187830.12986183167,79.99628
188627.0399093628,75.29063
189408.32996368408,76.79644
190127.11000442505,83.47441
190924.02005195618,75.29063
191767.8098678589,71.10782
192564.71991539001,75.29063
193330.37996292114,78.36371
194174.17001724243,71.10783
195017.95983314514,71.10782
195767.99988746643,79.99628
196611.78994178772,71.10782
197486.829996109,68.56825
198268.11003684998,76.79644
199033.76984596252,78.36374
199908.8099002838,68.56825
200752.5999546051,71.10782
201487.01000213623,81.69833
202221.42004966736,81.69833
203033.95986557007,73.84275
203893.3699131012,69.81495
209987.40983009338,79.99628
210799.93987083435,73.84273
211721.8599319458,65.08173
212471.8999862671,79.99628
213346.94004058838,68.56825
214237.59984970093,67.3653
215003.25989723206,78.36371
215862.6799583435,69.81496
216784.60001945496,65.08172
217565.87982177734,76.79646
218378.41987609863,73.84273
219269.08993721008,67.3653
220065.9999847412,75.29063
220816.03002548218,79.99628
221659.8198413849,71.10782
222706.73990249634,57.31078
223534.9099636078,72.44947
224519.33002471924,60.94956
225441.2498474121,65.08173
226222.52988815308,76.79644
227035.06994247437,73.84273
227972.60999679565,63.99704
228925.77981948853,62.94791
229738.3198738098,73.84273
230644.6099281311,66.20383
231566.52998924255,65.08173
232394.69003677368,72.44947
233316.60985946655,65.08173
234160.39991378784,71.10782
234926.05996131897,78.36371
235754.2200088501,72.44949
236660.51983833313,66.20383
237426.17988586426,78.36371
238254.3399333954,72.44947
239098.12998771667,71.10782
239848.16002845764,79.99628
240660.69984436035,73.84275
241535.73989868164,68.56825
242379.52995300293,71.10782
243160.82000732422,76.79644
243957.72981643677,75.29063
244817.1398639679,69.81495
245535.92991828918,83.47441
246285.95995903015,79.99628
247036.00001335144,79.99628
247942.28982925415,66.20383
248676.69987678528,81.69833
249395.47991752625,83.47441
250223.63996505737,72.44947
251098.68001937866,68.56825
251833.0898284912,81.69833
252630.00988960266,75.29065
253426.9199371338,75.29063
254255.07998466492,72.44947
254973.86002540588,83.47439
255770.77984809875,75.29063
259849.08986091614,87.26867
260599.1199016571,79.99628
261442.9099559784,71.10783
262177.3200035095,81.69833
262880.48005104065,85.32937
263599.25985336304,83.47441
264380.5499076843,76.79644
265083.70995521545,85.32937
265786.85998916626,85.3294
266552.5300502777,78.36371
267349.43985939026,75.29063
268068.2199001312,83.47441
268849.5099544525,76.79644
269646.42000198364,75.29063
270380.83004951477,81.69833
271099.60985183716,83.47441
271802.7698993683,85.32937
272615.3099536896,73.84273
273365.33999443054,79.99632
274115.38004875183,79.99628
274881.0398578644,78.36371
275584.1898918152,85.3294
276349.8499393463,78.36371
277162.3899936676,73.84273
277803.05004119873,93.65421
278537.4598503113,81.69833
279334.3698978424,75.29063
280053.1499385834,83.47441
280740.67997932434,87.26867
281381.34002685547,93.65421
285287.7700328827,73.84273
286053.42984199524,78.36371
286944.08988952637,67.3653
287959.76996421814,59.07419
288803.5600185394,71.10782
289616.0898208618,73.84273
290397.3798751831,76.79644
291163.03992271423,78.36371
291881.8199634552,83.47441
292694.3600177765,73.84273
293475.6498336792,76.79644
294178.79986763,85.3294
294975.71992874146,75.29063
295803.8799762726,72.44947
296522.66001701355,83.47439
297272.69983291626,79.99632
298100.8598804474,72.44947
298835.2699279785,81.69833
